year,area,site,acropora,favites,porites,total
2008,0.1089,PNEC,0,0,0,1
2008,0.1089,PNEC,0,0,0,1
2008,0.1089,PNEC,0,0,0,0
2008,0.1089,PNEC,0,0,0,1
2008,0.1089,PNEC,0,0,0,0
2008,0.1089,PNEC,0,0,0,0
2008,0.1089,PNEC,0,0,0,0
2008,0.1089,PNEC,0,0,0,0
2008,0.1089,PNEC,0,0,0,0
2008,0.1089,PNEG,0,0,1,2
2008,0.1089,PNEG,1,0,0,1
2008,0.1089,PNEG,0,0,0,1
2008,0.1089,PNEG,0,0,1,1
2008,0.1089,PNEG,0,0,0,0
2008,0.1089,PNEG,1,0,0,1
2008,0.1089,PNEG,0,0,0,0
2008,0.1089,PNEG,0,0,0,2
2008,0.1089,PNEG,0,0,0,1
2008,0.1089,PNEG,0,0,0,0
2008,0.1089,PNEG,1,0,0,1
2008,0.1089,PNEG,3,0,2,9
2008,0.1089,PNEG,0,0,0,0
2008,0.1089,PNEG,1,1,0,2
2008,0.1089,PNEG,0,0,0,0
2008,0.1089,PNEG,0,1,0,1
2008,0.1089,PNEG,0,0,1,3
2008,0.1089,PNEG,0,0,0,0
2008,0.1089,PNEG,0,0,0,1
2008,0.1089,PNEG,0,0,0,4
2008,0.1089,PNEG,1,0,0,1
2008,0.1089,PNEG,0,0,0,0
2008,0.1089,PNEG,0,0,0,1
2008,0.1089,PNEG,1,0,0,1
2008,0.1089,PNEG,0,1,1,3
2008,0.1089,PNEG,0,2,4,8
2008,0.1089,PNEG,1,0,0,2
2008,0.1089,PNEG,0,0,5,5
2008,0.1089,PNEG,0,0,0,5
2008,0.1089,PNEG,0,1,0,1
2008,0.1089,PNEG,0,0,0,0
2008,0.1089,PNEG,0,1,0,1
2008,0.1089,PNEG,0,0,0,3
2008,0.1089,PNEG,0,0,3,3
2008,0.1089,PNEG,0,0,0,1
2008,0.1089,PNEG,0,1,3,4
2008,0.1089,PNEG,0,0,0,2
2008,0.1089,PNEG,0,0,1,1
2008,0.1089,PNEG,0,0,0,1
2008,0.1089,PNEG,0,0,3,4
2008,0.1089,PNEG,1,0,0,1
2008,0.1089,PNEG,0,0,0,0
2008,0.1089,PNEG,0,0,0,1
2008,0.1089,PNEP,0,0,2,2
2008,0.1089,PNEP,0,0,5,5
2008,0.1089,PNEP,0,0,0,0
2008,0.1089,PNEP,0,0,3,4
2008,0.1089,PNEP,0,0,1,2
2008,0.1089,PNEP,0,0,0,1
2008,0.1089,PNEP,1,0,0,1
2008,0.1089,PNEP,0,0,0,0
2008,0.1089,PNEP,0,0,0,0
2008,0.1089,PNEP,1,0,0,1
2008,0.1089,PNEP,0,0,1,1
2008,0.1089,PNEP,0,0,0,0
2008,0.1089,PNEP,0,0,0,1
2008,0.1089,PNEP,1,0,0,1
2008,0.1089,PNEP,0,0,0,0
2008,0.1089,PNEP,0,0,1,1
2008,0.1089,PNEP,0,0,1,2
2008,0.1089,PNEP,0,0,0,1
2008,0.1089,PNEP,1,0,0,1
2008,0.1089,PNEP,0,0,1,2
2008,0.1089,PNEP,0,0,1,1
